1,0.44,0.25,0.44,0.31,0.42,0.31,0.4,0.38,0.39,0.42,0.49,0.33,0.5,0.41,0.5,0.46,0.42,0.47,0.4,0.57,0.4,0.67,0.46,0.49,0.46,0.59,0.46,0.7,0.44,0.23,0.46,0.25,0.43,0.25,0.47,0.25,1213.02,21,3,1
1,0.44,0.26,0.44,0.31,0.42,0.31,0.4,0.38,0.39,0.42,0.49,0.33,0.5,0.41,0.5,0.46,0.4,0.47,0.39,0.57,0.39,0.65,0.46,0.49,0.46,0.59,0.46,0.7,0.44,0.25,0.46,0.25,0.43,0.25,0.47,0.26,1364.42,11,2,1
1,0.43,0.26,0.44,0.33,0.4,0.31,0.39,0.38,0.38,0.42,0.47,0.33,0.49,0.39,0.49,0.46,0.4,0.47,0.39,0.57,0.38,0.67,0.44,0.49,0.44,0.57,0.44,0.7,0,0,0.44,0.26,0.43,0.26,0.46,0.26,2590.28,12,2,1
1,0.42,0.29,0.43,0.33,0.39,0.31,0.38,0.39,0.36,0.44,0.47,0.33,0.49,0.39,0.49,0.46,0.4,0.47,0.38,0.57,0.38,0.67,0.44,0.49,0.44,0.57,0.44,0.69,0.42,0.28,0.43,0.28,0.4,0.26,0.44,0.28,1453.88,20,3,1
1,0.4,0.34,0.42,0.36,0.38,0.34,0.36,0.44,0.35,0.52,0.46,0.36,0.47,0.44,0.46,0.51,0.39,0.49,0.38,0.56,0.38,0.65,0.44,0.49,0.43,0.57,0.43,0.69,0.4,0.33,0.42,0.33,0,0,0.43,0.31,1364.42,11,2,1
1,0.39,0.38,0.4,0.38,0.38,0.38,0.36,0.46,0.35,0.56,0.44,0.38,0.44,0.49,0.4,0.57,0.39,0.52,0.38,0.64,0,0,0.43,0.52,0.43,0.57,0.43,0.67,0.39,0.36,0.4,0.36,0.39,0.34,0.42,0.34,1862.7,20,3,1
1,0.46,0.25,0.46,0.33,0.43,0.31,0.4,0.38,0.4,0.42,0.49,0.33,0.5,0.39,0.5,0.44,0.42,0.46,0.42,0.54,0.38,0.67,0.47,0.46,0.47,0.54,0.47,0.69,0.46,0.25,0.47,0.25,0.44,0.25,0.49,0.26,2143.87,20,3,1
1,0.46,0.25,0.46,0.33,0.43,0.31,0.42,0.38,0.4,0.41,0.49,0.33,0.5,0.39,0.5,0.44,0.42,0.46,0.42,0.54,0.38,0.65,0.46,0.46,0.47,0.54,0.47,0.67,0.46,0.25,0.47,0.25,0.44,0.25,0.49,0.26,1327.14,20,3,1
1,0.46,0.26,0.46,0.31,0.43,0.31,0.4,0.38,0.39,0.41,0.49,0.33,0.5,0.39,0.5,0.44,0.42,0.46,0.42,0.54,0.39,0.65,0.46,0.46,0.47,0.54,0.47,0.67,0.46,0.25,0.47,0.25,0.44,0.25,0.49,0.26,1364.42,11,2,1
1,0.46,0.28,0.46,0.31,0.43,0.31,0.4,0.38,0.39,0.41,0.49,0.33,0.5,0.39,0.5,0.44,0.42,0.46,0.4,0.54,0.39,0.65,0.46,0.46,0.47,0.54,0.47,0.67,0.46,0.26,0.47,0.26,0.44,0.26,0.47,0.26,1862.7,20,3,1
