3,0.26,0.11,0.28,0.18,0.24,0.18,0.22,0.15,0.22,0.07,0.31,0.18,0.35,0.13,0.36,0.05,0.25,0.38,0.25,0.54,0.25,0.69,0.29,0.38,0.29,0.54,0.29,0.69,0.26,0.11,0.28,0.11,0.25,0.11,0.29,0.11,0,20,6,2
3,0.33,0.11,0.33,0.18,0.31,0.16,0.28,0.08,0.28,0.02,0.38,0.18,0.4,0.11,0.43,0.05,0.31,0.38,0.31,0.54,0.31,0.69,0.36,0.38,0.36,0.54,0.35,0.69,0.33,0.1,0.35,0.1,0.32,0.11,0.36,0.11,0,20,6,2
3,0.36,0.15,0.36,0.2,0.32,0.2,0.31,0.13,0.31,0.07,0.39,0.2,0.4,0.15,0.42,0.08,0.33,0.36,0.32,0.51,0.32,0.65,0.38,0.36,0.36,0.51,0.36,0.65,0.35,0.15,0.36,0.15,0.33,0.15,0.38,0.15,0,20,6,2
3,0.42,0.16,0.42,0.21,0.39,0.21,0.36,0.2,0.36,0.11,0.46,0.23,0.49,0.2,0.5,0.15,0.39,0.39,0.39,0.51,0.4,0.62,0.43,0.39,0.43,0.51,0.43,0.64,0.42,0.16,0.43,0.16,0.4,0.16,0.44,0.16,0,20,6,2
3,0.29,0.16,0.29,0.23,0.26,0.23,0.25,0.29,0.24,0.23,0.32,0.23,0.33,0.29,0.35,0.25,0.26,0.38,0.26,0.49,0.26,0.59,0.31,0.39,0.31,0.49,0.31,0.6,0.29,0.16,0.31,0.16,0.28,0.16,0.31,0.18,0,20,6,2
3,0.33,0.11,0.35,0.18,0.31,0.18,0.29,0.11,0.29,0.05,0.38,0.18,0.4,0.11,0.43,0.05,0.32,0.38,0.32,0.54,0.31,0.69,0.36,0.38,0.36,0.54,0.35,0.69,0.33,0.11,0.35,0.11,0.32,0.11,0.36,0.11,0,20,6,2
3,0.33,0.11,0.33,0.18,0.31,0.18,0.28,0.13,0.26,0.07,0.38,0.18,0.42,0.15,0.43,0.08,0.31,0.39,0.31,0.54,0.31,0.69,0.36,0.39,0.36,0.54,0.35,0.69,0.33,0.11,0.35,0.11,0.32,0.11,0.36,0.13,0,20,6,2
3,0.42,0.18,0.42,0.23,0.39,0.23,0.36,0.28,0.35,0.21,0.44,0.23,0.47,0.28,0.47,0.23,0.39,0.39,0.39,0.51,0.39,0.62,0.43,0.39,0.43,0.51,0.42,0.62,0.4,0.16,0.42,0.16,0.4,0.18,0.43,0.18,0,20,6,2
3,0.26,0.15,0.26,0.18,0.25,0.2,0.24,0.13,0.24,0.07,0.29,0.18,0.32,0.15,0.33,0.08,0.25,0.34,0.25,0.47,0.25,0.59,0.28,0.34,0.28,0.47,0.28,0.59,0.26,0.15,0.28,0.15,0.25,0.15,0.29,0.15,0,20,6,2
3,0.42,0.16,0.42,0.21,0.39,0.21,0.38,0.15,0.38,0.1,0.44,0.21,0.47,0.18,0.49,0.11,0.39,0.38,0.39,0.51,0.39,0.62,0.43,0.38,0.43,0.51,0.43,0.64,0.42,0.16,0.43,0.16,0.4,0.16,0.44,0.16,0,20,6,2
